Id,Competency Question/Fact
F1,A YANG library collection of the YANG modules and submodules used by a YANG server
F2,"A submodule provides a partial module definition except for the namespace, which is defined by the module that the submodule belongs to"
CQ1,What is the identifier of a YANG Library?
CQ2,"Which are the module sets included by a YANG library?"
CQ3,Which are the schemas included by a YANG library?
CQ4,Which are the datastores included by a YANG library?
CQ5,Which schema is implemented by a datastore?
CQ6,Which module sets are included by a schema?
CQ7,What is the identifier of a schema?
CQ8,What is the identifier of a module set?
CQ9,Which YANG modules belong to a module set?
CQ10,"What is the name, revision data and namespace of a module?"
CQ11,What is the URL where a YANG module is available?
CQ12,Which YANG modules are implemented by a module set?
CQ13,Which YANG features are used by an implementation of a YANG module?
CQ14,Which YANG features are NETCONF capabilities?
CQ15,Which YANG modules are imported by a module set?
CQ16,Which YANG module deviates another YANG module?
CQ17,Which YANG submodules are included by a YANG module?
CQ18,"Which YANG modules are submodules?"
